trial_number,image1_filename,image2_filename,trial_type,pair_id,contrast_type,contrast_category,image1_id,image1_gender,image1_ethnicity,image1_age,image1_attractive,image1_dominant,image1_trustworthy,image1_luminance,image2_id,image2_gender,image2_ethnicity,image2_age,image2_attractive,image2_dominant,image2_trustworthy,image2_luminance,covariate_distance,age_diff,attractive_diff,dominant_diff,trustworthy_diff,luminance_diff
52,CFD-LF-215-157-N.jpg,CFD-BM-238-242-N.jpg,regular,Female_Latino_Male_Black_v1,Intersectional_Female_Latino_Male_Black,intersectional,LF-215,Female,Latino,24.5666666666667,2.966666667,3.344827586,2.933333333,135.5,BM-238,Male,Black,24.4814814814815,2.407407407,3.423076923,2.925925926,130.0,0.7604909319327082,0.08518518518519969,0.5592592600000001,0.07824933699999992,0.007407407000000088,5.5
53,CFD-WM-233-106-N.jpg,CFD-WM-255-219-N.jpg,regular,Male_White_Male_White_v1,WithinGroup_Male_White,within_group,WM-233,Male,White,33.3333333333333,2.125,3.333333333,3.0,161.5,WM-255,Male,White,34.0714285714286,2.259259259,3.214285714,2.892857143,162.5,0.3787183962731836,0.7380952380952976,0.1342592589999998,0.11904761900000027,0.10714285699999992,1.0
54,CFD-LF-217-082-N.jpg,CFD-LM-214-165-N.jpg,regular,Female_Latino_Male_Latino_v1,GenderOnly_Latino,gender,LF-217,Female,Latino,26.7666666666667,3.633333333,2.7,3.642857143,158.0,LM-214,Male,Latino,27.5,3.464285714,2.571428571,3.642857143,154.0,0.3417432490910021,0.7333333333332988,0.1690476190000001,0.12857142899999996,0.0,4.0
55,CFD-LF-219-223-N.jpg,CFD-WM-253-119-N.jpg,regular,Female_Latino_Male_White_v1,Intersectional_Female_Latino_Male_White,intersectional,LF-219,Female,Latino,24.9615384615385,3.653846154,2.807692308,3.28,161.5,WM-253,Male,White,24.0,3.5,2.76,3.153846154,165.5,0.4238517771545151,0.961538461538499,0.153846154,0.04769230800000024,0.1261538459999998,4.0
56,CFD-WF-026-002-N.jpg,CFD-BM-221-198-N.jpg,regular,Female_White_Male_Black_v1,Intersectional_Female_White_Male_Black,intersectional,WF-026,Female,White,37.2268041237113,1.721649485,3.384615385,3.195876289,142.0,BM-221,Male,Black,36.5416666666667,2.125,3.25,3.083333333,124.5,0.8694501277745591,0.6851374570445969,0.4033505150000001,0.13461538500000003,0.11254295599999997,17.5
57,CFD-BM-214-075-N.jpg,CFD-BF-006-017-N.jpg,regular,Male_Black_Female_Black_v1,GenderOnly_Black,gender,BM-214,Male,Black,27.3703703703704,3.518518519,2.576923077,3.814814815,108.5,BF-006,Female,Black,27.9263157894737,3.380434783,2.740740741,3.846153846,99.5,0.44573247352481743,0.5559454191033026,0.138083736,0.1638176640000002,0.031339030999999906,9.0
58,CFD-LM-231-214-N.jpg,CFD-LF-223-064-N.jpg,regular,Male_Latino_Female_Latino_v1,GenderOnly_Latino,gender,LM-231,Male,Latino,27.92,3.24,2.32,3.291666667,166.0,LF-223,Female,Latino,28.1923076923077,3.346153846,2.076923077,3.28,165.0,0.3907762865349297,0.2723076923076988,0.10615384599999977,0.24307692299999983,0.011666667000000075,1.0
59,CFD-AF-251-093-N.jpg,CFD-BF-216-132-N.jpg,regular,Female_Asian_Female_Black_v1,EthnicityOnly_Asian_Black,ethnicity,AF-251,Female,Asian,22.6428571428571,4.607142857,2.259259259,3.678571429,133.5,BF-216,Female,Black,24.7142857142857,4.892857143,2.555555556,3.607142857,138.5,0.7056136415980037,2.0714285714286014,0.28571428599999926,0.29629629700000004,0.07142857199999986,5.0
60,CFD-WM-023-001-N.jpg,CFD-BF-245-178-N.jpg,regular,Male_White_Female_Black_v1,Intersectional_Male_White_Female_Black,intersectional,WM-023,Male,White,37.5934065934066,2.866666667,2.5,3.811111111,135.5,BF-245,Female,Black,35.4074074074074,2.75,2.62962963,3.928571429,118.0,0.7848228403099041,2.1859991859992007,0.11666666700000006,0.12962963000000016,0.11746031799999956,17.5
61,CFD-AM-234-355-N.jpg,CFD-WM-251-002-N.jpg,regular,Male_Asian_Male_White_v1,EthnicityOnly_Asian_White,ethnicity,AM-234,Male,Asian,27.2692307692308,2.692307692,2.576923077,3.307692308,162.5,WM-251,Male,White,27.72,2.6,2.56,3.4,161.0,0.26913353380429755,0.4507692307692004,0.09230769199999989,0.016923076999999953,0.09230769199999989,1.5
62,CFD-BM-222-173-N.jpg,CFD-BM-252-161-N.jpg,regular,Male_Black_Male_Black_v1,WithinGroup_Male_Black,within_group,BM-222,Male,Black,35.8,2.766666667,3.333333333,3.666666667,132.5,BM-252,Male,Black,37.1153846153846,2.615384615,3.192307692,3.64,126.0,0.42328868827994925,1.3153846153846018,0.151282052,0.14102564100000015,0.026666666999999755,6.5
63,CFD-BF-019-001-N.jpg,CFD-WF-034-006-N.jpg,regular,Female_Black_Female_White_v1,EthnicityOnly_Black_White,ethnicity,BF-019,Female,Black,29.7032967032967,2.615384615,2.72,3.450549451,136.0,WF-034,Female,White,28.1182795698925,2.182795699,2.714285714,3.387096774,143.0,0.6785020121195359,1.5850171334042003,0.4325889159999998,0.005714286000000346,0.0634526769999999,7.0
64,CFD-LM-216-082-N.jpg,CFD-BM-226-276-N.jpg,regular,Male_Latino_Male_Black_v1,EthnicityOnly_Latino_Black,ethnicity,LM-216,Male,Latino,22.5925925925926,2.777777778,2.518518519,3.259259259,139.5,BM-226,Male,Black,21.7777777777778,2.740740741,2.5,3.37037037,118.0,0.7923574606497003,0.8148148148147989,0.03703703699999972,0.018518519000000122,0.11111111100000004,21.5
65,CFD-BF-244-231-N.jpg,CFD-BF-226-119-N.jpg,attention_repeat,AttentionCheck_1_Repeat,AttentionCheck_1_Repeat,within_group,BF-244,Female,Black,29.1071428571429,4.75,2.964285714,3.678571429,133.0,BF-226,Female,Black,29.2962962962963,4.62962963,2.923076923,3.740740741,127.5,0.2945459198614195,0.18915343915340088,0.12037036999999984,0.041208790999999856,0.06216931200000042,5.5
66,CFD-WM-034-030-N.jpg,CFD-WF-037-029-N.jpg,attention_repeat,AttentionCheck_2_Repeat,AttentionCheck_2_Repeat,gender,WM-034,Male,White,23.2209302325581,2.698795181,2.538461538,3.182926829,153.0,WF-037,Female,White,23.5,2.688172043,2.533333333,3.29787234,158.5,0.33806416726148963,0.27906976744190004,0.010623138000000143,0.005128205000000108,0.11494551100000017,5.5
67,CFD-AM-201-076-N.jpg,CFD-LM-208-110-N.jpg,attention_repeat,AttentionCheck_3_Repeat,AttentionCheck_3_Repeat,ethnicity,AM-201,Male,Asian,23.8,3.04,2.48,3.12,166.0,LM-208,Male,Latino,25.1428571428571,2.857142857,2.392857143,3.25,175.0,0.5577955816569662,1.342857142857099,0.1828571430000001,0.08714285699999991,0.1299999999999999,9.0
68,CFD-LF-207-198-N.jpg,CFD-BM-024-001-N.jpg,attention_repeat,AttentionCheck_4_Repeat,AttentionCheck_4_Repeat,intersectional,LF-207,Female,Latino,26.1071428571429,2.928571429,2.555555556,3.535714286,139.5,BM-024,Male,Black,21.6458333333333,2.989473684,2.785714286,3.463157895,121.5,1.015228274143496,4.4613095238096,0.06090225500000024,0.2301587300000003,0.072556391,18.0
